Power (kw),Power-1,Temp.(ºC),SolarRad(W/m2),Holiday,Weekend,Hour,Sin_hour
156.4048668,146.6688587,10.679166666666667,1.2671666666666666,0,0,6,0.0
190.2624906,156.4048668,10.7975,16.10175,0,0,7,0.0
268.2861818,190.2624906,11.535000000000002,110.6475,0,0,8,0.0
305.4990939,268.2861818,12.661666666666667,241.6,0,0,9,0.0
347.9080878,305.4990939,13.839166666666666,404.75,0,0,10,0.0
338.7049575,347.9080878,14.896666666666667,493.8416666666667,0,0,11,1.1317961645591699
313.3616577,338.7049575,14.761666666666668,634.1333333333333,0,0,12,3.6647912925192827
288.9028597,313.3616577,16.0125,652.3333333333334,0,0,13,5.948036950248172
300.4384292,288.9028597,15.365,669.9583333333334,0,0,14,7.825933719413469
307.1201224,300.4384292,15.068333333333333,433.5083333333334,0,0,15,9.170506038567703
303.5597201,307.1201224,14.25,203.45833333333334,0,0,16,9.89012352617133
277.4382429,303.5597201,13.561666666666667,127.64416666666666,0,0,17,9.935745439668286
236.8415777,277.4382429,12.820833333333333,9.454083333333333,0,0,18,9.304262721047534
191.7033118,236.8415777,12.573333333333332,0.8306666666666667,0,0,19,8.038709874008541
162.8027492,191.7033118,12.259166666666667,1.1423333333333334,0,0,20,6.225332233652053
160.803097,162.8027492,11.719166666666666,1.2646666666666666,0,0,21,3.987708489420121
152.8505342,160.803097,11.549166666666666,1.4677499999999999,0,0,22,1.4783290016340547
153.6628275,152.8505342,11.92,1.1124166666666666,0,0,23,0.0
150.9279044,153.6628275,12.045833333333334,1.2739166666666668,0,0,0,0.0
150.551583,150.9279044,12.151666666666666,1.0293333333333334,0,0,1,0.0
149.159738,150.551583,12.225833333333334,1.22075,0,0,2,0.0
149.9883567,149.159738,12.238333333333335,1.0315833333333333,0,0,3,0.0
148.7218824,149.9883567,12.319166666666668,0.8977499999999999,0,0,4,0.0
150.3552596,148.7218824,12.069166666666666,0.84,0,0,5,0.0
170.9914024,150.3552596,9.628333333333332,0.26775,0,0,6,0.0
216.6292674,170.9914024,8.023333333333333,4.069500000000001,0,0,7,0.0
284.4338861,216.6292674,7.930833333333333,13.755833333333333,0,0,8,0.0
340.857608,284.4338861,8.365833333333333,44.65833333333333,0,0,9,0.0
375.004903,340.857608,8.727500000000001,87.75999999999999,0,0,10,0.0
394.1717598,375.004903,8.495,195.45916666666665,0,0,11,1.1317961645591699
343.2346281,394.1717598,9.9925,599.8333333333334,0,0,12,3.6647912925192827
323.6495899,343.2346281,10.203333333333333,447.25,0,0,13,5.948036950248172
338.1519869,323.6495899,9.400833333333333,348.5525,0,0,14,7.825933719413469
351.2426554,338.1519869,8.4655,383.325,0,0,15,9.170506038567703
340.9624673,351.2426554,9.943333333333333,267.4841666666667,0,0,16,9.89012352617133
303.323839,340.9624673,9.458333333333334,76.8625,0,0,17,9.935745439668286
264.714268,303.323839,8.365833333333333,17.193583333333333,0,0,18,9.304262721047534
235.7718454,264.714268,8.275833333333333,1.6137500000000002,0,0,19,8.038709874008541
201.9115007,235.7718454,9.074166666666667,0.7271666666666667,0,0,20,6.225332233652053
177.2712396,201.9115007,9.195833333333333,0.9209999999999999,0,0,21,3.987708489420121
166.673962,177.2712396,9.666666666666666,0.8103333333333333,0,0,22,1.4783290016340547
164.8752378,166.673962,9.646153846153847,1.6473076923076921,0,0,23,0.0
163.6177634,164.8752378,9.455,2.384583333333333,0,1,0,0.0
168.7091952,163.6177634,9.17,2.1491666666666664,0,1,1,0.0
158.1029177,168.7091952,8.8275,0.8380833333333334,0,1,2,0.0
170.0340642,158.1029177,8.246666666666668,0.7204166666666666,0,1,3,0.0
169.3913039,170.0340642,7.8,0.9209999999999999,0,1,4,0.0
168.8205428,169.3913039,8.131666666666666,0.87025,0,1,5,0.0
170.692522,168.8205428,7.609999999999999,1.0111666666666668,0,1,6,0.0
171.0192393,170.692522,7.378333333333333,8.956916666666666,0,1,7,0.0
169.4884191,171.0192393,7.308333333333334,39.1925,0,1,8,0.0
178.0324637,169.4884191,7.941666666666666,217.465,0,1,9,0.0
178.7085027,178.0324637,9.240833333333333,402.68333333333334,0,1,10,0.0
176.7400362,178.7085027,10.810833333333333,423.75,0,1,11,1.1317961645591699
175.6943734,176.7400362,12.023333333333333,625.8833333333333,0,1,12,3.6647912925192827
173.8560915,175.6943734,13.24,649.15,0,1,13,5.948036950248172
170.357642,173.8560915,13.869166666666667,642.5500000000001,0,1,14,7.825933719413469
169.924391,170.357642,13.966666666666667,545.1333333333333,0,1,15,9.170506038567703
174.6426409,169.924391,13.240833333333335,358.55,0,1,16,9.89012352617133
177.6084219,174.6426409,12.387500000000001,127.0825,0,1,17,9.935745439668286
181.0918018,177.6084219,12.020833333333334,9.659916666666666,0,1,18,9.304262721047534
178.1590902,181.0918018,11.606666666666667,0.7316666666666666,0,1,19,8.038709874008541
178.8841054,178.1590902,11.628333333333332,0.86775,0,1,20,6.225332233652053
170.8430087,178.8841054,12.155833333333334,0.5654166666666667,0,1,21,3.987708489420121
168.6097777,170.8430087,11.758333333333333,1.5164166666666665,0,1,22,1.4783290016340547
166.5370798,168.6097777,12.055384615384614,1.555153846153846,0,1,23,0.0
164.3568017,166.5370798,12.906666666666666,0.9255,0,1,0,0.0
164.1504319,164.3568017,13.459166666666667,0.96225,0,1,1,0.0
162.7445638,164.1504319,13.534999999999998,1.3639166666666667,0,1,2,0.0
161.7711095,162.7445638,13.4325,1.3797499999999998,0,1,3,0.0
162.8852134,161.7711095,13.423333333333334,1.41225,0,1,4,0.0
162.0524087,162.8852134,13.380833333333333,1.2138333333333333,0,1,5,0.0
160.8514453,162.0524087,13.424999999999999,1.29675,0,1,6,0.0
158.9386526,160.8514453,13.463333333333333,15.193083333333334,0,1,7,0.0
155.411529,158.9386526,13.563333333333333,104.61666666666667,0,1,8,0.0
153.5753401,155.411529,13.845833333333333,171.83333333333334,0,1,9,0.0
153.8275466,153.5753401,14.466666666666667,182.54999999999998,0,1,10,0.0
160.9257468,153.8275466,14.705833333333333,184.5666666666667,0,1,11,1.1317961645591699
162.7757495,160.9257468,14.983333333333334,197.82500000000002,0,1,12,3.6647912925192827
162.4096838,162.7757495,15.0025,207.4333333333333,0,1,13,5.948036950248172
165.8254598,162.4096838,15.042499999999999,220.13333333333333,0,1,14,7.825933719413469
170.0905752,165.8254598,14.704166666666667,138.45916666666668,0,1,15,9.170506038567703
170.1759696,170.0905752,14.446666666666667,106.76666666666667,0,1,16,9.89012352617133
167.8803672,170.1759696,14.79,80.18333333333334,0,1,17,9.935745439668286
172.0435535,167.8803672,14.490833333333333,6.97975,0,1,18,9.304262721047534
170.0899473,172.0435535,14.515833333333333,0.9229166666666666,0,1,19,8.038709874008541
171.8769507,170.0899473,14.468333333333334,0.7705833333333333,0,1,20,6.225332233652053
166.5946373,171.8769507,14.189166666666667,0.82825,0,1,21,3.987708489420121
164.8840284,166.5946373,13.950833333333334,0.983,0,1,22,1.4783290016340547
166.2250135,164.8840284,13.80153846153846,0.9373846153846154,0,1,23,0.0
150.3284692,166.2250135,13.644166666666665,0.8609166666666667,0,0,0,0.0
149.2342488,150.3284692,13.545833333333334,1.08675,0,0,1,0.0
145.8624258,149.2342488,13.318333333333333,0.9621666666666666,0,0,2,0.0
141.6201241,145.8624258,13.075833333333334,0.8192499999999999,0,0,3,0.0
137.57289,141.6201241,13.064166666666667,0.8885833333333334,0,0,4,0.0
142.0757702,137.57289,12.854166666666666,1.1376666666666666,0,0,5,0.0
160.05171,142.0757702,12.832500000000001,1.2553333333333334,0,0,6,0.0
193.3697584,160.05171,12.894166666666665,29.278000000000002,0,0,7,0.0
251.5287866,193.3697584,13.800833333333335,162.74916666666667,0,0,8,0.0
312.2789488,251.5287866,14.425833333333335,213.36666666666667,0,0,9,0.0
344.3426623,312.2789488,14.920833333333334,290.175,0,0,10,0.0
349.1048652,344.3426623,15.091666666666667,295.56666666666666,0,0,11,1.1317961645591699
331.4864098,349.1048652,15.285000000000002,520.7916666666666,0,0,12,3.6647912925192827
323.2885474,331.4864098,16.368333333333336,588.5666666666667,0,0,13,5.948036950248172
344.4625912,323.2885474,15.748333333333333,355.1333333333334,0,0,14,7.825933719413469
353.6927212,344.4625912,14.991666666666667,137.14916666666667,0,0,15,9.170506038567703
340.8109341,353.6927212,14.868333333333334,86.24416666666667,0,0,16,9.89012352617133
307.7082554,340.8109341,14.871666666666668,29.763333333333332,0,0,17,9.935745439668286
258.4821512,307.7082554,14.816666666666668,3.5140833333333332,0,0,18,9.304262721047534
210.9559816,258.4821512,14.715000000000002,1.25525,0,0,19,8.038709874008541
164.5866131,210.9559816,14.4525,1.2641666666666667,0,0,20,6.225332233652053
153.3114128,164.5866131,13.858333333333334,1.3010833333333334,0,0,21,3.987708489420121
150.3977475,153.3114128,13.395000000000001,0.8422499999999999,0,0,22,1.4783290016340547
144.2164906,150.3977475,13.15230769230769,0.9584615384615384,0,0,23,0.0
144.1143522,144.2164906,12.494166666666667,1.0454166666666667,0,0,0,0.0
142.2645588,144.1143522,12.6325,0.9900833333333333,0,0,1,0.0
141.1207343,142.2645588,12.445,0.7779166666666667,0,0,2,0.0
139.2234298,141.1207343,12.525833333333333,0.9530833333333333,0,0,3,0.0
136.5192738,139.2234298,12.637500000000001,0.9071666666666666,0,0,4,0.0
136.2273003,136.5192738,12.448333333333332,1.043,0,0,5,0.0
147.217434,136.2273003,11.970833333333333,1.516333333333333,0,0,6,0.0
183.0018736,147.217434,12.374166666666667,35.35466666666667,0,0,7,0.0
238.5157684,183.0018736,13.511666666666665,216.29166666666666,0,0,8,0.0
280.8305773,238.5157684,14.614166666666668,405.68333333333334,0,0,9,0.0
315.0904757,280.8305773,16.113333333333333,565.2583333333333,0,0,10,0.0
329.7251503,315.0904757,17.250833333333333,660.1,0,0,11,1.1317961645591699
303.3602572,329.7251503,17.959166666666665,730.1666666666666,0,0,12,3.6647912925192827
290.7195837,303.3602572,19.2525,720.0,0,0,13,5.948036950248172
301.2867221,290.7195837,19.780833333333334,646.4333333333333,0,0,14,7.825933719413469
299.5685784,301.2867221,20.323333333333334,518.75,0,0,15,9.170506038567703
300.3729183,299.5685784,20.474999999999998,334.43333333333334,0,0,16,9.89012352617133
272.7670855,300.3729183,19.348333333333333,173.51666666666665,0,0,17,9.935745439668286
235.3804544,272.7670855,17.351666666666667,23.307166666666664,0,0,18,9.304262721047534
202.2792408,235.3804544,15.5725,0.5144166666666666,0,0,19,8.038709874008541
174.5486652,202.2792408,15.138333333333334,0.457,0,0,20,6.225332233652053
163.559578,174.5486652,14.3775,0.5052500000000001,0,0,21,3.987708489420121
150.7728131,163.559578,14.165833333333333,0.6415000000000001,0,0,22,1.4783290016340547
147.7375445,150.7728131,14.175833333333335,0.41075,0,0,23,0.0
